#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
4,11-10-23T20-00-54,mono,frontend-monitor,40.224373,98.974152,30.982378,10.174171,356.306946,111.536560,36.627014,69.125
5,11-10-23T20-00-54,mono,api-baseline,29.124169,88.623725,32.542521,7.721235,319.045410,117.153076,27.796448,66.17241379310344
5,11-10-23T20-00-54,mono,api-monitor,29.164744,77.735833,23.199344,7.459073,279.848999,83.517639,26.852661,67.65517241379311
5,11-10-23T20-00-54,mono,frontend-baseline,40.210735,131.546682,32.280697,10.311618,473.568054,116.210510,37.121826,68.675
5,11-10-23T20-00-54,mono,frontend-monitor,40.278452,93.646664,24.800686,9.918298,337.127991,89.282471,35.705872,68.225
6,11-10-23T20-00-54,mono,api-baseline,29.153572,43.111844,15.450304,7.747989,155.202637,55.621094,27.892761,62.689655172413794
6,11-10-23T20-00-54,mono,api-monitor,29.159139,93.864373,27.520345,7.559340,337.911743,99.073242,27.213623,67.58620689655173
6,11-10-23T20-00-54,mono,frontend-baseline,40.155902,119.464162,32.350464,10.527276,430.070984,116.461670,37.898193,68.0
6,11-10-23T20-00-54,mono,frontend-monitor,40.194718,14.256439,7.361755,7.549320,51.323181,26.502319,27.177551,50.175
7,11-10-23T20-00-54,mono,api-baseline,29.143581,10.475074,5.283000,5.488196,37.710266,19.018799,19.757507,42.172413793103445
7,11-10-23T20-00-54,mono,api-monitor,29.136415,9.504005,4.747552,5.451592,34.214417,17.091187,19.625732,40.48275862068966
7,11-10-23T20-00-54,mono,frontend-baseline,40.181897,12.742140,6.168603,7.507375,45.871704,22.206970,27.026550,38.825
7,11-10-23T20-00-54,mono,frontend-monitor,40.181998,17.986043,10.236816,7.453986,64.749756,36.852539,26.834351,39.125
8,11-10-23T20-00-54,mono,api-baseline,29.136850,10.818804,5.870463,5.500217,38.947693,21.133667,19.800781,37.37931034482759
8,11-10-23T20-00-54,mono,api-monitor,29.166390,10.676371,5.888129,5.462663,38.434937,21.197266,19.665588,36.0
