Iteration,Architecture,File Name,Duration,# Iterations,Cumulative Package Energy_0 (mWh)
8,micro,8-api-baseline.csv,60,10,37.413788
8,micro,8-api-monitor.csv,60,10,337.460480
8,micro,8-frontend-baseline.csv,60,10,20.380809
8,micro,8-frontend-monitor.csv,60,10,5.389201
9,micro,9-api-baseline.csv,60,10,39.011909
9,micro,9-api-monitor.csv,60,10,209.404026
9,micro,9-frontend-baseline.csv,60,10,48.953586
9,micro,9-frontend-monitor.csv,60,10,26.217601
1,mono,1-api-baseline.csv,60,10,142.937351
1,mono,1-api-monitor.csv,60,10,223.670061
1,mono,1-frontend-baseline.csv,60,10,30.149909
1,mono,1-frontend-monitor.csv,60,10,28.928223
10,mono,10-api-baseline.csv,60,10,134.531538
10,mono,10-api-monitor.csv,60,10,416.192610
10,mono,10-frontend-baseline.csv,60,10,10.522122
10,mono,10-frontend-monitor.csv,60,10,16.175012
2,mono,2-api-baseline.csv,60,10,357.419315
2,mono,2-api-monitor.csv,60,10,46.995900
2,mono,2-frontend-baseline.csv,60,10,3.176270
2,mono,2-frontend-monitor.csv,60,10,4.322815
3,mono,3-api-baseline.csv,60,10,139.366760
3,mono,3-api-monitor.csv,60,10,280.696072
3,mono,3-frontend-baseline.csv,60,10,14.837799
3,mono,3-frontend-monitor.csv,60,10,5.182665
4,mono,4-api-baseline.csv,60,10,53.767497
4,mono,4-api-monitor.csv,60,10,250.860460
4,mono,4-frontend-baseline.csv,60,10,29.760267
4,mono,4-frontend-monitor.csv,60,10,12.896796
5,mono,5-api-baseline.csv,60,10,335.384844
5,mono,5-api-monitor.csv,60,10,191.689962
5,mono,5-frontend-baseline.csv,60,10,4.207408
5,mono,5-frontend-monitor.csv,60,10,4.707506
6,mono,6-api-baseline.csv,60,10,95.934974
6,mono,6-api-monitor.csv,60,10,314.155528
6,mono,6-frontend-baseline.csv,60,10,8.756816
6,mono,6-frontend-monitor.csv,60,10,9.614953
7,mono,7-api-baseline.csv,60,10,187.824673
7,mono,7-api-monitor.csv,60,10,223.570964
7,mono,7-frontend-baseline.csv,60,10,25.406189
7,mono,7-frontend-monitor.csv,60,10,30.135532
8,mono,8-api-baseline.csv,60,10,148.667009
8,mono,8-api-monitor.csv,60,10,203.828735
8,mono,8-frontend-baseline.csv,60,10,14.427745
8,mono,8-frontend-monitor.csv,60,10,30.892215
9,mono,9-api-baseline.csv,60,10,142.524821
9,mono,9-api-monitor.csv,60,10,161.322123
9,mono,9-frontend-baseline.csv,60,10,27.591858
9,mono,9-frontend-monitor.csv,60,10,24.047818
1,micro,1-api-baseline.csv,60,10,44.093950
1,micro,1-api-monitor.csv,60,10,120.794186
1,micro,1-frontend-baseline.csv,60,10,33.556569
1,micro,1-frontend-monitor.csv,60,10,15.539161
10,micro,10-api-baseline.csv,60,10,145.534278
10,micro,10-api-monitor.csv,60,10,223.752628
10,micro,10-frontend-baseline.csv,60,10,43.920949
10,micro,10-frontend-monitor.csv,60,10,8.257989
2,micro,2-api-baseline.csv,60,10,107.789358
2,micro,2-api-monitor.csv,60,10,187.621799
2,micro,2-frontend-baseline.csv,60,10,54.970890
2,micro,2-frontend-monitor.csv,60,10,30.032603
3,micro,3-api-baseline.csv,60,10,149.077589
3,micro,3-api-monitor.csv,60,10,125.928192
3,micro,3-frontend-baseline.csv,60,10,51.580675
3,micro,3-frontend-monitor.csv,60,10,39.088779
4,micro,4-api-baseline.csv,60,10,212.529924
4,micro,4-api-monitor.csv,60,10,51.786669
4,micro,4-frontend-baseline.csv,60,10,6.518843
4,micro,4-frontend-monitor.csv,60,10,5.969730
5,micro,5-api-baseline.csv,60,10,39.663188
5,micro,5-api-monitor.csv,60,10,39.848328
5,micro,5-frontend-baseline.csv,60,10,5.325165
5,micro,5-frontend-monitor.csv,60,10,5.727030
6,micro,6-api-baseline.csv,60,10,92.666914
6,micro,6-api-monitor.csv,60,10,303.113336
6,micro,6-frontend-baseline.csv,60,10,20.929464
6,micro,6-frontend-monitor.csv,60,10,30.736576
7,micro,7-api-baseline.csv,60,10,228.655039
7,micro,7-api-monitor.csv,60,10,43.492720
7,micro,7-frontend-baseline.csv,60,10,5.587548
7,micro,7-frontend-monitor.csv,60,10,5.534210
8,micro,8-api-baseline.csv,60,10,38.277808
8,micro,8-api-monitor.csv,60,10,62.242364
8,micro,8-frontend-baseline.csv,60,10,38.454200
8,micro,8-frontend-monitor.csv,60,10,32.016296
9,micro,9-api-baseline.csv,60,10,346.220194
9,micro,9-api-monitor.csv,60,10,251.117876
9,micro,9-frontend-baseline.csv,60,10,30.376434
9,micro,9-frontend-monitor.csv,60,10,41.861894
1,mono,1-api-baseline.csv,60,10,213.204278
1,mono,1-api-monitor.csv,60,10,45.355818
1,mono,1-frontend-baseline.csv,60,10,3.781094
1,mono,1-frontend-monitor.csv,60,10,3.509928
10,mono,10-api-baseline.csv,60,10,62.750109
10,mono,10-api-monitor.csv,60,10,166.488529
10,mono,10-frontend-baseline.csv,60,10,32.462497
10,mono,10-frontend-monitor.csv,60,10,11.371986
2,mono,2-api-baseline.csv,60,10,224.392853
2,mono,2-api-monitor.csv,60,10,311.226468
2,mono,2-frontend-baseline.csv,60,10,32.870043
2,mono,2-frontend-monitor.csv,60,10,37.113071
3,mono,3-api-baseline.csv,60,10,164.783953
3,mono,3-api-monitor.csv,60,10,80.329471
3,mono,3-frontend-baseline.csv,60,10,17.087453
3,mono,3-frontend-monitor.csv,60,10,20.055355
4,mono,4-api-baseline.csv,60,10,135.000916
4,mono,4-api-monitor.csv,60,10,315.302446
4,mono,4-frontend-baseline.csv,60,10,39.739872
4,mono,4-frontend-monitor.csv,60,10,4.358944
5,mono,5-api-baseline.csv,60,10,42.872043
5,mono,5-api-monitor.csv,60,10,181.053857
5,mono,5-frontend-baseline.csv,60,10,14.579230
5,mono,5-frontend-monitor.csv,60,10,33.936717
6,mono,6-api-baseline.csv,60,10,229.073385
6,mono,6-api-monitor.csv,60,10,96.502550
6,mono,6-frontend-baseline.csv,60,10,13.067695
6,mono,6-frontend-monitor.csv,60,10,14.769914
7,mono,7-api-baseline.csv,60,10,241.128269
7,mono,7-api-monitor.csv,60,10,47.565579
7,mono,7-frontend-baseline.csv,60,10,3.625488
7,mono,7-frontend-monitor.csv,60,10,4.786275
8,mono,8-api-baseline.csv,60,10,96.948259
8,mono,8-api-monitor.csv,60,10,40.065477
8,mono,8-frontend-baseline.csv,60,10,3.813494
8,mono,8-frontend-monitor.csv,60,10,4.435103
9,mono,9-api-baseline.csv,60,10,113.634355
9,mono,9-api-monitor.csv,60,10,268.906436
9,mono,9-frontend-baseline.csv,60,10,12.324456
9,mono,9-frontend-monitor.csv,60,10,18.297899
