InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,6,C3,0.014%,366,70
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,7,C1E,0.096%,985,10
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,8,C1,0.044%,822,2
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,9,POLL,0.000%,10,0
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,10,C0,0.974%
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,1,C10,94.765%,13853,890
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,2,C9,0.024%,90,480
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,3,C8,3.898%,7407,200
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,4,C7s,0.010%,20,124
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,5,C6,0.266%,2205,85
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,6,C3,0.015%,407,70
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,7,C1E,0.091%,635,10
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,8,C1,0.070%,918,2
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,9,POLL,0.000%,16,0
1-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,10,C0,0.860%
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,1,C10,93.838%,13770,890
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,2,C9,0.024%,74,480
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,3,C8,4.687%,8503,200
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,4,C7s,0.008%,20,124
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,5,C6,0.277%,2047,85
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,6,C3,0.024%,550,70
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,7,C1E,0.080%,1058,10
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,8,C1,0.080%,1464,2
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,9,POLL,0.000%,35,0
1-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,10,C0,0.981%
2-api-monitor.csv,mono,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,1,C10,96.174%,9866,890
2-api-monitor.csv,mono,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,2,C9,0.022%,33,480
2-api-monitor.csv,mono,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,3,C8,2.922%,4578,200
